task_id,episode,split,state_id,site_id,action_chunk_mse,first_action_mse,next_obs_l1_01,local_hook_output_mse,d_a,d_o,C_r,max_object_position_delta_m
0,0,CAL,task0/episode0/replan9,video_d00_self_attn_q,9.14490954073699e-07,1.915863556689601e-08,1.9696803065016866e-05,0.007746298605123282,3.8001348685775427e-06,0.0001952343949337399,0.00019903452980231745,4.180880641690976e-11
0,0,CAL,task0/episode0/replan9,video_d10_self_attn_q,8.996354949886154e-07,6.660210374320741e-07,5.682652408722788e-05,0.008699409825815118,3.738403532902238e-06,0.0005632635920527762,0.0005670019955856785,3.477542975804937e-10
0,0,CAL,task0/episode0/replan9,video_d20_self_attn_q,9.146619390776323e-07,6.108816705818754e-07,3.4885779314208776e-05,0.012413589150376356,3.8008453907238322e-06,0.0003457872830285973,0.00034958812841932114,6.475907587955021e-10
0,0,CAL,task0/episode0/replan9,video_d29_self_attn_q,8.521915901837929e-07,1.2453308784188266e-07,3.0487659387290478e-05,0.013311248020913128,3.541252061750835e-06,0.00030219318910667674,0.0003057344411684276,1.1215112172280328e-10
0,0,CAL,task0/episode0/replan9,action_d00_self_attn_q,5.635194497699558e-07,5.987093345538597e-07,2.592996861494612e-05,0.006909742336196793,2.3416851754007187e-06,0.0002570174315334018,0.00025935911670880253,3.6676675585489704e-10
0,0,CAL,task0/episode0/replan9,action_d10_self_attn_q,5.599213181994855e-07,0.0,0.0,0.010592316762833709,2.3267332667112293e-06,0.0,2.3267332667112293e-06,0.0
0,0,CAL,task0/episode0/replan9,action_d20_self_attn_q,5.814660539726901e-07,6.173245310492348e-07,2.9629974960698746e-05,0.009797882585416758,2.416261655462734e-06,0.0002936918348758913,0.00029610809653135404,3.619388400100121e-10
0,0,CAL,task0/episode0/replan9,action_d29_self_attn_q,1.2898799468530342e-06,9.701058161226683e-07,5.1321392675163224e-05,0.007985880047266523,5.360050572922488e-06,0.0005086968181089332,0.0005140568686818558,5.421805504557398e-10
0,0,CAL,task0/episode0/replan10,video_d00_self_attn_q,6.97048676556733e-07,1.8615095243035285e-08,1.6774696632637642e-05,0.007736475979381468,2.8965611623377487e-06,0.00016627052301125547,0.00016916708417359321,6.380814449036265e-08
0,0,CAL,task0/episode0/replan10,video_d10_self_attn_q,7.318748203033465e-07,0.0,0.0,0.008932172137451682,3.041279972950428e-06,0.0,3.041279972950428e-06,0.0
0,0,CAL,task0/episode0/replan10,video_d20_self_attn_q,1.3284007991387625e-06,1.205619923894119e-06,0.00011658512812573463,0.013283833096933524,5.520122614407684e-06,0.0011555899133868328,0.0011611100360012405,1.0247273300567628e-05
0,0,CAL,task0/episode0/replan10,video_d29_self_attn_q,7.61875526222866e-07,2.045048631771351e-06,0.0001695720129646361,0.014030323469120573,3.1659468470609388e-06,0.0016807950630143885,0.0016839610098614494,1.8626409149014034e-05
0,0,CAL,task0/episode0/replan10,action_d00_self_attn_q,4.23979741981384e-07,5.267266374175961e-07,7.298288983292878e-05,0.0069123594103237575,1.7618328468934444e-06,0.0007234052292655873,0.0007251670621124807,4.470191914268673e-06
0,0,CAL,task0/episode0/replan10,action_d10_self_attn_q,5.299936560732021e-07,1.9205174339731457e-06,7.521684892708436e-05,0.010652215786045891,2.202369923504303e-06,0.0007455481958482618,0.0007477505657717662,7.218374274281514e-06
0,0,CAL,task0/episode0/replan10,action_d20_self_attn_q,3.7021663956693374e-07,4.789658891724002e-09,1.9307854017824866e-05,0.010098983756404731,1.5384221732088659e-06,0.0001913791382386342,0.00019291756041184307,3.6926288055072476e-08
0,0,CAL,task0/episode0/replan10,action_d29_self_attn_q,1.6501344362040982e-06,1.3835656886840297e-07,4.3322994315531105e-05,0.007997577472235118,6.85707538267719e-06,0.00042941682231330806,0.00043627389769598524,2.3800908517390695e-06
0,0,CAL,task0/episode0/replan0,video_d00_self_attn_q,1.2709734846794163e-06,5.171456450625556e-06,0.00038447161205112934,0.008162948644065792,5.28148543695547e-06,0.0038108764300597707,0.0038161579154967263,0.0
0,0,CAL,task0/episode0/replan0,video_d10_self_attn_q,9.790573130885605e-06,1.7832135199569166e-05,0.0005358826601877809,0.008809863671337487,4.068438093597412e-05,0.005311660302024488,0.005352344682960462,0.0
0,0,CAL,task0/episode0/replan0,video_d20_self_attn_q,2.233955683550448e-06,2.148984322047909e-06,0.0003100127214565873,0.012959917169569169,9.28312396104126e-06,0.003072841105003303,0.0030821242289643443,0.0
0,0,CAL,task0/episode0/replan0,video_d29_self_attn_q,9.649761523178313e-07,3.0993307973403716e-06,0.0004153083427809179,0.013150721529741864,4.009924327226595e-06,0.004116529608694512,0.004120539533021739,0.0
0,0,CAL,task0/episode0/replan0,action_d00_self_attn_q,1.6496865384851844e-07,8.663376860340577e-08,0.00017142701835837215,0.006922750270062525,6.855214159521708e-07,0.0016991818466182776,0.0016998673680342297,0.0
0,0,CAL,task0/episode0/replan0,action_d10_self_attn_q,2.541228525387851e-07,1.915863556689601e-08,0.00013745875912718475,0.010874348306070631,1.0559985405358097e-06,0.0013624890078838604,0.0013635450064243962,0.0
0,0,CAL,task0/episode0/replan0,action_d20_self_attn_q,1.8840765392269532e-07,1.0439498510095291e-07,0.0001155379504780285,0.009414269412521827,7.829213531190648e-07,0.0011452103053985114,0.0011459932267516304,0.0
0,0,CAL,task0/episode0/replan0,action_d29_self_attn_q,2.7448737682789215e-07,1.1974147184901085e-07,5.2986892114859074e-05,0.007148471393942428,1.1406226021389312e-06,0.0005252052217467306,0.0005263458443488696,0.0
